Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
astorSafeRegressionTesting,Chrome 68.0.3440.106,For regression testing  after each sprints,2018-09-04 12:11:25,2018-09-04 12:12:17,51.466s,PASSED
,,,,,,
Test Cases/Common TestCases/TC1_Login To astorSafe Web Application,Chrome 68.0.3440.106,"1. Open Browser
2. Enter astorSafe URL
3. Enter Valid User Name and Passwoord
4. Click Login",2018-09-04 12:11:26,2018-09-04 12:11:37,11.062s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 12:11:27,2018-09-04 12:11:34,6.691s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-04 12:11:34,2018-09-04 12:11:35,1.169s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 12:11:35,2018-09-04 12:11:37,2.356s,PASSED
,,,,,,
Test Cases/Main TestCases/TC1_Verify Login With Valid Credentials,Chrome 68.0.3440.106,,2018-09-04 12:11:37,2018-09-04 12:11:54,16.682s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 12:11:38,2018-09-04 12:11:43,5.289s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 12:11:43,2018-09-04 12:11:54,11.148s,PASSED
,,,,,,
Test Cases/Common TestCases/TC2_Click ControlPanel,Chrome 68.0.3440.106,,2018-09-04 12:11:54,2018-09-04 12:12:16,21.868s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 12:11:54,2018-09-04 12:12:00,5.755s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-04 12:12:00,2018-09-04 12:12:01,1.192s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 12:12:01,2018-09-04 12:12:06,5.309s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 12:12:06,2018-09-04 12:12:07,0.279s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-04 12:12:07,2018-09-04 12:12:07,0.483s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 12:12:07,2018-09-04 12:12:16,8.668s,PASSED
